Indicator Name,Country Name,Year,Value
Senior Director National Field Sales,Total Payout,2020-Q1,19202.92949
Outside Sales Director - Central Canada,Total Payout,2020-Q1,11207.88746
Regional Sales Manager AE,Total Payout,2020-Q1,10095.9408
Senior Account Executive,Total Payout,2020-Q1,10418.76623
Account Executive,Total Payout,2020-Q1,19878.23324
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,18529.55769
Account Executive,Total Payout,2020-Q1,0
Senior Account Executive,Total Payout,2020-Q1,4895
Account Executive,Total Payout,2020-Q1,11608.91677
Account Executive,Total Payout,2020-Q1,2338.875
Regional Sales Manager AE,Total Payout,2020-Q1,12267.62074
Account Executive,Total Payout,2020-Q1,6800.625
Account Executive,Total Payout,2020-Q1,2162.875
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,1363.87
Senior Account Executive,Total Payout,2020-Q1,11314.76227
Senior Account Executive,Total Payout,2020-Q1,17801.54504
Regional Sales Manager AE,Total Payout,2020-Q1,4167
Senior Account Executive,Total Payout,2020-Q1,6858.5
Account Executive,Total Payout,2020-Q1,1433.68
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,16791.99215
Account Executive,Total Payout,2020-Q1,2766.5
Account Executive,Total Payout,2020-Q1,8250.71224
Account Executive,Total Payout,2020-Q1,2585
Outside Sales Director,Total Payout,2020-Q1,0
Regional Sales Manager AE,Total Payout,2020-Q1,1553.66182
Senior Account Executive,Total Payout,2020-Q1,8935.88568
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,1364.13
Account Executive,Total Payout,2020-Q1,1648.44
Senior Account Executive PQ Govt. Rep.,Total Payout,2020-Q1,5549.5
Account Executive,Total Payout,2020-Q1,0
Senior Account Executive,Total Payout,2020-Q1,1283.92
Account Executive,Total Payout,2020-Q1,0
Regional Sales Manager AE,Total Payout,2020-Q1,2333.25
Account Executive,Total Payout,2020-Q1,8523.49958
Account Executive,Total Payout,2020-Q1,4419.3125
Account Executive,Total Payout,2020-Q1,10850.06094
Account Executive,Total Payout,2020-Q1,3366.86
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,0
Senior Account Executive,Total Payout,2020-Q1,9058.3907
Account Executive,Total Payout,2020-Q1,0
Inside Sales Director,Total Payout,2020-Q1,1053.585
Inside Sales Manager,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,600
Inside Sales Representative,Total Payout,2020-Q1,1074.25164
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,600
Inside Sales Account Manager,Total Payout,2020-Q1,1690.84567
Inside Sales Representative,Total Payout,2020-Q1,915.52873
Inside Sales Account Manager,Total Payout,2020-Q1,1702.50567
Inside Sales Account Manager,Total Payout,2020-Q1,1288.28233
Inside Sales Representative,Total Payout,2020-Q1,1027.6
Inside Sales Manager,Total Payout,2020-Q1,686.106
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Account Manager,Total Payout,2020-Q1,5.94
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Account Manager,Total Payout,2020-Q1,1596.978
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Manager - Hunter,Total Payout,2020-Q1,3163.60683
Inside Sales Account Manager Hunter,Total Payout,2020-Q1,1452.54429
Inside Sales Account Manager Hunter,Total Payout,2020-Q1,4640.72772
Inside Sales Account Manager Hunter,Total Payout,2020-Q1,1498.80633
Inside Sales Account Manager Hunter,Total Payout,2020-Q1,3706.51746
Inside Sales Manager - ISR,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,311.29309
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,446.03927
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,430.42036
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,344.30836
Inside Sales Representative,Total Payout,2020-Q1,441.84145
Inside Sales Manager,Total Payout,2020-Q1,239.184
Inside Sales Account Manager,Total Payout,2020-Q1,375.44733
Inside Sales Account Manager,Total Payout,2020-Q1,1657.35
Inside Sales Account Manager,Total Payout,2020-Q1,120.88
Inside Sales Account Manager,Total Payout,2020-Q1,90.124
Inside Sales Account Manager,Total Payout,2020-Q1,68.64
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Account Manager,Total Payout,2020-Q1,443.72833
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Account Manager,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,0
Inside Sales Manager,Total Payout,2020-Q1,0
Inside Sales Representative,Total Payout,2020-Q1,0
Outside Sales Director,Total Payout,2020-Q1,0
Regional Sales Manager AE,Total Payout,2020-Q1,1627.12364
Account Executive,Total Payout,2020-Q1,10224.32512
Account Executive,Total Payout,2020-Q1,10691.19746
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,1507.65
Account Executive,Total Payout,2020-Q1,1007.02
Account Executive,Total Payout,2020-Q1,1521.82
Account Executive,Total Payout,2020-Q1,1429.26
Account Executive,Total Payout,2020-Q1,0
Senior Account Executive,Total Payout,2020-Q1,0
Regional Sales Manager AE,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,2356.0625
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,7152.75
Account Executive,Total Payout,2020-Q1,16207.52648
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,9782.38113
Outside Sales Director,Total Payout,2020-Q1,0
Regional Sales Manager AE,Total Payout,2020-Q1,0
Senior Account Executive,Total Payout,2020-Q1,12249.08
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,0
Sales Executive,Total Payout,2020-Q1,645.75551
Retail Sales Director,Total Payout,2020-Q1,20994.78059
Regional Sales Manager AE,Total Payout,2020-Q1,0
Senior Account Executive,Total Payout,2020-Q1,0
Account Executive,Total Payout,2020-Q1,15432.96518
Senior Account Executive,Total Payout,2020-Q1,4826.25
Senior Account Executive,Total Payout,2020-Q1,1070.07
Senior Account Executive,Total Payout,2020-Q1,18325.58108
Senior Sales Executive,Total Payout,2020-Q1,55938.05272
Senior Sales Executive,Total Payout,2020-Q1,18850.01111
Health Care Sales Director,Total Payout,2020-Q1,4374.57673
Regional Sales Manager AE,Total Payout,2020-Q1,0
Senior Account Executive,Total Payout,2020-Q1,10434.43548
Account Executive,Total Payout,2020-Q1,0
Senior Account Executive,Total Payout,2020-Q1,10424.12517
Senior Account Executive,Total Payout,2020-Q1,8843.29467
Senior Sales Executive,Total Payout,2020-Q1,4411.26267
SMB Manager,Total Payout,2020-Q1,0
SMB Representative,Total Payout,2020-Q1,703.15042
SMB Representative,Total Payout,2020-Q1,0
SMB Representative,Total Payout,2020-Q1,0
SMB Representative,Total Payout,2020-Q1,643.25565
SMB Representative,Total Payout,2020-Q1,0
SMB Representative,Total Payout,2020-Q1,0
SMB Representative,Total Payout,2020-Q1,0
Outside Sales Director,Total Payout,2020-Q1,0
Regional Sales Manager SE,Total Payout,2020-Q1,11749.91586
Sales Executive,Total Payout,2020-Q1,21773.07942
